AISC_Manual_Label,W,A,Ix (in^4),Sx
W44X335,335.00,98.50,31100.00,1410.00
W44X290,290.00,85.40,27000.00,1240.00
W44X262,262.00,77.20,24100.00,1110.00
W44X230,230.00,67.80,20800.00,971.00
W40X593,593.00,174.00,50400.00,2340.00
W40X503,503.00,148.00,41600.00,1980.00
W40X431,431.00,127.00,34800.00,1690.00
W40X397,397.00,117.00,32000.00,1560.00
W40X372,372.00,110.00,29600.00,1460.00
W40X362,362.00,106.00,28900.00,1420.00
W40X324,324.00,95.30,25600.00,1280.00
W40X297,297.00,87.30,23200.00,1170.00
W40X277,277.00,81.50,21900.00,1100.00
W40X249,249.00,73.50,19600.00,993.00
W40X215,215.00,63.50,16700.00,859.00
W40X199,199.00,58.80,14900.00,770.00
W40X392,392.00,116.00,29900.00,1440.00
W40X331,331.00,97.70,24700.00,1210.00
W40X327,327.00,95.90,24500.00,1200.00
W40X294,294.00,86.20,21900.00,1080.00
W40X278,278.00,82.30,20500.00,1020.00
W40X264,264.00,77.40,19400.00,971.00
W40X235,235.00,69.10,17400.00,875.00
W40X211,211.00,62.10,15500.00,786.00
W40X183,183.00,53.30,13200.00,675.00
W40X167,167.00,49.30,11600.00,600.00
W40X149,149.00,43.80,9800.00,513.00
W36X652,652.00,192.00,50600.00,2460.00
W36X529,529.00,156.00,39600.00,1990.00
W36X487,487.00,143.00,36000.00,1830.00
W36X441,441.00,130.00,32100.00,1650.00
W36X395,395.00,116.00,28500.00,1490.00
W36X361,361.00,106.00,25700.00,1350.00
W36X330,330.00,96.90,23300.00,1240.00
W36X302,302.00,89.00,21100.00,1130.00
W36X282,282.00,82.90,19600.00,1050.00
W36X262,262.00,77.20,17900.00,972.00
W36X247,247.00,72.50,16700.00,913.00
W36X231,231.00,68.20,15600.00,854.00
W36X256,256.00,75.30,16800.00,895.00
W36X232,232.00,68.00,15000.00,809.00
W36X210,210.00,61.90,13200.00,719.00
W36X194,194.00,57.00,12100.00,664.00
W36X182,182.00,53.60,11300.00,623.00
W36X170,170.00,50.00,10500.00,581.00
W36X160,160.00,47.00,9760.00,542.00
W36X150,150.00,44.30,9040.00,504.00
W36X135,135.00,39.90,7800.00,439.00
W33X387,387.00,114.00,24300.00,1350.00
W33X354,354.00,104.00,22000.00,1240.00
W33X318,318.00,93.70,19500.00,1110.00
W33X291,291.00,85.60,17700.00,1020.00
W33X263,263.00,77.40,15900.00,919.00
W33X241,241.00,71.10,14200.00,831.00
W33X221,221.00,65.30,12900.00,759.00
W33X201,201.00,59.10,11600.00,686.00
W33X169,169.00,49.50,9290.00,549.00
W33X152,152.00,44.90,8160.00,487.00
W33X141,141.00,41.50,7450.00,448.00
W33X130,130.00,38.30,6710.00,406.00
W33X118,118.00,34.70,5900.00,359.00
W30X391,391.00,115.00,20700.00,1250.00
W30X357,357.00,105.00,18700.00,1140.00
W30X326,326.00,95.90,16800.00,1040.00
W30X292,292.00,86.00,14900.00,930.00
W30X261,261.00,77.00,13100.00,829.00
W30X235,235.00,69.30,11700.00,748.00
W30X211,211.00,62.30,10300.00,665.00
W30X191,191.00,56.10,9200.00,600.00
W30X173,173.00,50.90,8230.00,541.00
W30X148,148.00,43.60,6680.00,436.00
W30X132,132.00,38.80,5770.00,380.00
W30X124,124.00,36.50,5360.00,355.00
W30X116,116.00,34.20,4930.00,329.00
W30X108,108.00,31.70,4470.00,299.00
W30X99,99.00,29.00,3990.00,269.00
W30X90,90.00,26.30,3610.00,245.00
W27X539,539.00,159.00,25600.00,1570.00
W27X368,368.00,109.00,16200.00,1060.00
W27X336,336.00,99.20,14600.00,972.00
W27X307,307.00,90.20,13100.00,887.00
W27X281,281.00,83.10,11900.00,814.00
W27X258,258.00,76.10,10800.00,745.00
W27X235,235.00,69.40,9700.00,677.00
W27X217,217.00,63.90,8910.00,627.00
W27X194,194.00,57.10,7860.00,559.00
W27X178,178.00,52.50,7020.00,505.00
W27X161,161.00,47.60,6310.00,458.00
W27X146,146.00,43.20,5660.00,414.00
W27X129,129.00,37.80,4760.00,345.00
W27X114,114.00,33.60,4080.00,299.00
W27X102,102.00,30.00,3620.00,267.00
W27X94,94.00,27.60,3270.00,243.00
W27X84,84.00,24.70,2850.00,213.00
W24X370,370.00,109.00,13400.00,957.00
W24X335,335.00,98.30,11900.00,864.00
W24X306,306.00,89.70,10700.00,789.00
W24X279,279.00,81.90,9600.00,718.00
W24X250,250.00,73.50,8490.00,644.00
W24X229,229.00,67.20,7650.00,588.00
W24X207,207.00,60.70,6820.00,531.00
W24X192,192.00,56.50,6260.00,491.00
W24X176,176.00,51.70,5680.00,450.00
W24X162,162.00,47.80,5170.00,414.00
W24X146,146.00,43.00,4580.00,371.00
W24X131,131.00,38.60,4020.00,329.00
W24X117,117.00,34.40,3540.00,291.00
W24X104,104.00,30.70,3100.00,258.00
W24X103,103.00,30.30,3000.00,245.00
W24X94,94.00,27.70,2700.00,222.00
W24X84,84.00,24.70,2370.00,196.00
W24X76,76.00,22.40,2100.00,176.00
W24X68,68.00,20.10,1830.00,154.00
W24X62,62.00,18.20,1550.00,131.00
W24X55,55.00,16.20,1350.00,114.00
W21X201,201.00,59.30,5310.00,461.00
